Id,FullName,County,CountyId,CountyName,Flag
101,"John Smith","Cook",17,"Cook County","I"
102,"Jane Doe","DuPage",43,"DuPage County","I"
103,"Acme Corporation","Lake",97,"Lake County","B"
104,"Bob Johnson","Kane",89,"Kane County","I"
105,"XYZ Business LLC","Will",197,"Will County","B"
106,"Mary Williams","McHenry",111,"McHenry County","I"
107,"Tech Solutions Inc","Kendall",93,"Kendall County","B"
108,"Robert Brown","Grundy",63,"Grundy County","U"
109,"Global Enterprises","DeKalb",37,"DeKalb County","B"
110,"Sarah Davis","Kankakee",91,"Kankakee County","I"
